"Date","Particulars","Supplier","Voucher No.","Voucher Type","Value","Gross Total","Purchase ZCOL","IGST Tax","800012-Clearing Cess","CGST Tax","SGST Tax","Clean Engry Cess","BasicCustomsduty-Amt","Freight/Quantity","Handling Charges","Mat.INS-Fixed","Miscellaneous Chrges","DischargePort Ag.Chg","Steve dooring@Unload","Vessel Insurance","Wharfage Un. Charges","OTB Procurement","Freight(Fixed Value)","Mine Transpt charge","NMED FUND (2%)","NMED FUND (30%)","Royalty charges %","Rail.Term./MT","Rake Unl. Chr./MT","Sizing charges","Stoving Charges"
"01 Apr 2023","0000030140-TamilNadu Waste Management Ltd","0000030140-TamilNadu Waste Management Ltd","4540005583","Purcahse Order ZSER","30,000.00","35,400.00 Cr","","","","2,700.00 Dr","2,700.00 Dr","","","","","","","","","","","","","","","","","","","",""
"01 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001039","Purcahse Order ZCOL","7,62,20,000.00","8,40,31,000.00 Cr","7,62,20,000.00 Dr","38,11,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001787","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001788","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001789","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001790","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001791","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001792","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001793","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001794","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"02 Apr 2023","","","4610001795","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"03 Apr 2023","0000030900-SP Insitu & Allied Engineering Serv","0000030900-SP Insitu & Allied Engineering Serv","4540005584","Purcahse Order ZSER","4,10,000.00","4,83,800.00 Cr","","","","36,900.00 Dr","36,900.00 Dr","","","","","","","","","","","","","","","","","","","",""
